year,org_short,utility_parent_company,utility_entity_matched,contributor_name,amount_usd,contribution_date,match_type
2022,DGA,NRG Energy,NRG Energy,NRG ENERGY INC.,5000,2022-11-28,entity_simplified
2022,DGA,UGI Corp,UGI Energy Services,UGI ENERGY SERVICES LLC,5000,2022-06-22,entity_simplified
2022,DGA,Vistra Energy,Vistra Corporate Services,VISTRA CORPORATE SERVICES CO,5000,2022-10-25,entity_simplified
2022,DLCC,Vistra Energy,Vistra Corporate Services,VISTRA CORPORATE SERVICES COMPANY,5000,2022-04-13,entity_simplified
2022,DLCC,Vistra Energy,Vistra Corporate Services,VISTRA CORPORATE SERVICES COMPANY,5000,2022-04-13,entity_simplified
2022,DLCC,Xcel Energy,Xcel Energy,XCEL ENERGY,5000,2022-10-05,entity_exact
2022,GOPAC,Dominion Energy,Dominion Energy,DOMINION ENERGY,5000,2022-10-31,entity_exact
2022,GOPAC,Duke Energy,Duke Energy,DUKE ENERGY,5000,2022-11-01,entity_exact
2022,GOPAC,Duke Energy,Duke Energy,DUKE ENERGY,5000,2022-12-15,entity_exact
2022,GOPAC,Southwest Gas,Southwest Gas,SOUTHWEST GAS CORPORATION,5000,2022-10-31,entity_simplified
2022,RAGA,Evergy,Evergy,EVERGY METRO INC,5000,2022-10-25,entity_word_boundary
2022,RGA,Southern Company,Mississippi Power,MISSISSIPPI POWER COMPANY,5000,2022-07-13,entity_simplified
2022,RGA,Spire,Spire Missouri,SPIRE MISSOURI INC,5000,2022-05-17,entity_word_boundary
2022,RSLC,American Gas Association,American Gas Association,AMERICAN GAS ASSOCIATION,5000,2022-01-19,entity_exact
2022,RSLC,American Gas Association,American Gas Association,AMERICAN GAS ASSOCIATION,5000,2022-03-10,entity_exact
2022,RSLC,Avangrid,Avangrid,AVANGRID,5000,2022-09-27,entity_exact
2022,RSLC,Dominion Energy,Dominion Energy Services,"DOMINION ENERGY SERVICES, INC.",5000,2022-03-04,entity_simplified
2022,RSLC,NextEra,NextEra,NEXTERA ENERGY RESOURCES LLC,5000,2022-02-08,entity_word_boundary
2022,RSLC,NextEra,NextEra,NEXTERA ENERGY RESOURCES LLC,5000,2022-02-09,entity_word_boundary
2022,RSLC,Nuclear Energy Institute,Nuclear Energy Institute,NUCLEAR ENERGY INSTITUTE,5000,2022-03-15,entity_exact
2022,RSLC,Southwest Gas,Southwest Gas,SOUTHWEST GAS CORPORATION,5000,2022-10-19,entity_simplified
2022,RSLC,Vistra Energy,Vistra Corporate Services,"VISTRA CORPORATE SERVICES COMPANY, AS AGENT",5000,2022-01-06,entity_simplified
2022,RSLC,Duke Energy,Duke Energy Business Services,DUKE ENERGY BUSINESS SERVICES LLC,2500,2022-11-08,entity_simplified
2022,RGA,Northwestern Energy,Northwestern Energy Montana Employee PAC,NORTHWESTERN ENERGY MONTANA EMPLOYEE PAC,2000,2022-05-10,entity_exact
2022,DAGA,NextEra,NextEra,NEXTERA ENERGY RESOURCES LLC,1000,2022-09-26,entity_word_boundary
2022,RSLC,Southern Company,Mississippi Power,MISSISSIPPI POWER COMPANY,1000,2022-08-16,entity_simplified
2022,RSLC,NextEra,NextEra,NEXTERA,1000,2022-06-09,entity_word_boundary
2022,RAGA,PPL Corporation,LGandE and KU Services,LGANDE AND KU SERVICES COMPANY,600,2022-08-11,entity_simplified
2022,RAGA,American Gas Association,American Gas Association,AMERICAN GAS ASSOCIATION,565,2022-10-12,entity_exact
2022,RAGA,American Gas Association,American Gas Association,AMERICAN GAS ASSOCIATION,500,2022-07-06,entity_exact
2022,RSLC,Dominion Energy,Dominion Energy Services,"DOMINION ENERGY SERVICES, INC.",500,2022-02-02,entity_simplified
2022,RGA,Alliant Energy,Alliant Energy,ALLIANT ENERGY CORPORATION SERVICES INC,450,2022-10-03,entity_simplified
2022,RGA,Avangrid,Avangrid,AVANGRID INC,450,2022-10-21,entity_simplified
2022,RGA,Duke Energy,Duke Energy,DUKE ENERGY CORPORATION,450,2022-10-18,entity_simplified
2022,RGA,Duke Energy,Duke Energy,DUKE ENERGY CORPORATION,450,2022-10-23,entity_simplified
2022,RGA,Edison Electric Institute,Edison Electric Institute,EDISON ELECTRIC INSTITUTE,450,2022-09-28,entity_exact
2022,RGA,Edison Electric Institute,Edison Electric Institute,EDISON ELECTRIC INSTITUTE,450,2022-10-03,entity_exact
2022,RGA,Edison Electric Institute,Edison Electric Institute,EDISON ELECTRIC INSTITUTE,450,2022-10-07,entity_exact
2022,RGA,Fortis,ITC Holdings,ITC HOLDINGS CORPORATION,450,2022-10-11,entity_simplified
2022,RGA,Berkshire Hathaway Energy,MidAmerican Energy,MIDAMERICAN ENERGY COMPANY,450,2022-10-04,entity_simplified
2022,RGA,Southern Company,Mississippi Power,MISSISSIPPI POWER COMPANY,450,2022-11-03,entity_simplified
2022,RGA,Nuclear Energy Institute,Nuclear Energy Institute,NUCLEAR ENERGY INSTITUTE,450,2022-11-07,entity_exact
2022,RGA,Southwest Gas,Southwest Gas,SOUTHWEST GAS CORPORATION,450,2022-11-04,entity_simplified
2022,RGA,Southwest Gas,Southwest Gas,SOUTHWEST GAS CORPORATION,450,2022-11-04,entity_simplified
2022,RGA,Vistra Energy,Vistra Energy,VISTRA,450,2022-10-14,entity_word_boundary
2022,RAGA,American Gas Association,American Gas Association,AMERICAN GAS ASSOCIATION,400,2022-01-03,entity_exact
2022,RAGA,PPL Corporation,LGandE and KU Services,LGANDE AND KU SERVICES COMPANY,400,2022-10-20,entity_simplified
2022,DLCC,American Gas Association,American Gas Association,AMERICAN GAS ASSOCIATION,250,2022-05-24,entity_exact
2022,DLCC,American Gas Association,American Gas Association,AMERICAN GAS ASSOCIATION,250,2022-08-09,entity_exact
